Merek,Varian,Model,Tahun,Jarak tempuh,Tipe bahan bakar,Warna,Transmisi,Sistem Penggerak,Tipe bodi,Kapasitas mesin,Fitur tambahan,Tipe Penjual,Lokasi,Harga,Nama Bursa Mobil
Toyota,G,Calya,2016,40.000-45.000 km,Bensin,Hitam,Manual,Front Wheel Drive (FWD),MPV,>1.000 - 1.500 cc,"['Airbag', 'Bluetooth Audio', 'Electric Window', 'Jok kulit', 'Sensor Parkir']",Individu,"Sawangan, Depok Kota, Jawa Barat",Rp 111.000.000,
Toyota,V,Innova,2013,40.000-45.000 km,Bensin,Hitam,Manual,4X2,MPV,>2.000 - 3.000 cc,"['Airbag', 'Electric Window', 'Jok kulit', 'Sensor Parkir']",Individu,"Purworejo, Purworejo Kab., Jawa Tengah",Rp 172.500.000,
Honda,S,Mobilio,2017,40.000-45.000 km,Bensin,Hitam,Manual,Front Wheel Drive (FWD),Minibus,>1.500 - 2.000 cc,"['Airbag', 'Bluetooth Audio', 'Electric Window', 'GPS']",Individu,"Tampan, Pekanbaru Kota, Riau",Rp 154.000.000,
Toyota,V,Innova,2013,40.000-45.000 km,Bensin,Hitam,Manual,4X2,MPV,>2.000 - 3.000 cc,"['Airbag', 'Electric Window', 'Jok kulit', 'Sensor Parkir']",Individu,"Pakualaman, Yogyakarta Kota, Yogyakarta D.I.",Rp 172.500.000,
Toyota,2000,Corona,<1986,40.000-45.000 km,Bensin,Hitam,Manual,Rear Wheel Drive (RWD),Hatchback,>1.500 - 2.000 cc,"['Bluetooth Audio', 'Jok kulit']",Individu,"Bogor Tengah - Kota, Bogor Kota, Jawa Barat",Rp 74.750.000,
Daihatsu,R 1.3 Sporty,Xenia,2014,40.000-45.000 km,Bensin,Hitam,Manual,,Minibus,>1.000 - 1.500 cc,"['Airbag', 'Sensor Parkir', 'Kamera Belakang', 'GPS', 'Electric Window', 'Bluetooth Audio']",Individu,"Pondok Aren, Tangerang Selatan Kota, Banten",Rp 120.000.000,
Daihatsu,X,Luxio,2014,40.000-45.000 km,Bensin,Hitam,Manual,Front Wheel Drive (FWD),Van,>1.000 - 1.500 cc,"['Sensor Parkir', 'Airbag', 'Moonroof']",Individu,"Pasar Kemis, Tangerang Kab., Banten",Rp 120.000.000,
Toyota,Veloz,Avanza,2017,40.000-45.000 km,Bensin,Hitam,Manual,Front Wheel Drive (FWD),MPV,>1.000 - 1.500 cc,"['Airbag', 'Bluetooth Audio', 'Jok kulit']",Individu,"Setia Budi, Jakarta Selatan, Jakarta D.K.I.",Rp 155.000.000,
Suzuki,Mega Carry,APV,2016,40.000-45.000 km,Bensin,Hitam,Manual,Rear Wheel Drive (RWD),Pick-up,>1.000 - 1.500 cc,Bluetooth Audio,Individu,"Majenang, Cilacap Kab., Jawa Tengah",Rp 105.000.000,
Toyota,G,Rush,2014,40.000-45.000 km,Bensin,Hitam,Manual,4X2,Jeep,>1.000 - 1.500 cc,,Individu,"Sawangan, Depok Kota, Jawa Barat",Rp 163.000.000,
